0.002461, 0.098451, 50
0.008978, 0.130326, 50
0.019837, 0.217192, 50
0.035039, 0.304032, 50
0.054581, 0.390838, 50
0.078461, 0.477603, 50
0.106677, 0.564322, 50
0.139226, 0.650992, 50
0.176107, 0.737614, 50
0.217317, 0.824195, 50
0.262854, 0.910741, 50
0.312717, 0.997269, 50
0.366907, 1.083799, 50
0.425425, 1.170357, 50
0.488274, 1.256978, 50
0.555459, 1.343702, 50
0.626988, 1.430581, 50
0.702872, 1.517672, 50
0.783124, 1.605044, 50
0.867763, 1.692771, 50
0.956810, 1.780939, 50
1.050292, 1.869640, 50
1.148240, 1.958970, 50
1.250692, 2.049035, 50
1.357689, 2.139938, 50
1.469278, 2.231788, 50
1.585513, 2.324687, 50
1.706449, 2.418737, 50
1.832151, 2.514027, 50
1.962683, 2.610641, 50
2.098115, 2.708644, 50
2.238520, 2.808092, 50
2.383971, 2.909021, 50
2.534543, 3.011452, 50
2.690313, 3.115389, 50
2.851354, 3.220820, 50
3.017740, 3.327722, 50
3.189543, 3.436059, 50
3.366832, 3.545789, 50
3.549675, 3.656864, 50
3.738137, 3.769235, 50
3.932280, 3.882859, 50
4.132165, 3.997696, 50
4.337851, 4.113717, 50
4.549396, 4.230905, 50
4.766859, 4.349259, 50
4.990299, 4.468795, 50
5.219776, 4.589547, 50
5.455355, 4.711573, 50
5.697102, 4.834950, 50
5.942326, 4.904467, 50
6.186107, 4.875628, 50
6.426223, 4.802320, 50
6.662603, 4.727589, 50
6.895179, 4.651531, 50
7.123890, 4.574217, 50
7.348675, 4.495699, 50
7.569475, 4.416012, 50
7.786234, 4.335170, 50
7.998893, 4.253176, 50
8.207394, 4.170016, 50
8.411677, 4.085667, 50
8.611682, 4.000098, 50
8.807345, 3.913273, 50
8.998603, 3.825155, 50
9.185388, 3.735705, 50
9.367633, 3.644892, 50
9.545268, 3.552690, 50
9.718222, 3.459083, 50
9.886425, 3.364067, 50
10.049808, 3.267649, 50
10.208300, 3.169854, 50
10.361836, 3.070716, 50
10.510350, 2.970287, 50
10.653782, 2.868629, 50
10.792073, 2.765816, 50
10.925169, 2.661930, 50
11.053022, 2.557059, 50
11.175587, 2.451296, 50
11.292824, 2.344737, 50
11.404698, 2.237475, 50
11.511178, 2.129603, 50
11.612238, 2.021207, 50
11.707857, 1.912371, 50
11.798015, 1.803170, 50
11.882699, 1.693674, 50
11.961896, 1.583943, 50
12.035598, 1.474032, 50
12.103797, 1.363986, 50
12.166489, 1.253846, 50
12.223671, 1.143643, 50
12.275341, 1.033403, 50
12.321499, 0.923147, 50
12.362143, 0.812890, 50
12.397275, 0.702641, 50
12.426896, 0.592408, 50
12.451005, 0.482193, 50
12.469605, 0.371997, 50
12.482696, 0.261817, 50
12.490279, 0.151650, 50
12.492693, 0.048285, 50
12.492693, 0.000000, 50
12.492693, 0.000000, 50
